Layer,Domain Entity,File Path,File Purpose,Key Pattern,Dependencies,Extends/Conforms,Concurrency,Complexity,Notes
Repository,Obligation,swift/Sources/Services/Repositories/ObligationRepository.swift,Repository for Obligation entities,BaseRepository,"GRDB, Models, SQLiteData","Sendable, Decodable, FetchableRecord, Identifiable, Hashable, Sendable",Sendable,Medium,
Repository,PersonalValue,swift/Sources/Services/Repositories/PersonalValueRepository.swift,// Repository for PersonalValue entities using canonical PersonalValueData type.,BaseRepository<PersonalValueData>,"GRDB, Models, SQLiteData","BaseRepository<PersonalValueData>, Decodable, FetchableRecord, Sendable",@unchecked Sendable,Complex,
Repository,Semantic,swift/Sources/Services/Repositories/EmbeddingCacheRepository.swift,Repository for managing cached semantic embeddings,,"GRDB, Models, SQLiteData","Sendable, Decodable, FetchableRecord, Sendable, Decodable, FetchableRecord, Sendable, Sendable, Sendable",Sendable,Medium,
Repository,TimePeriod,swift/Sources/Services/Repositories/TimePeriodRepository.swift,// Repository for TimePeriod entities using canonical TimePeriodData type.,BaseRepository<TimePeriodData>,"GRDB, Models, SQLiteData",BaseRepository<TimePeriodData>,@unchecked Sendable,Complex,
Repository-Core,Cross-cutting,swift/Sources/Services/Repositories/Core/BaseRepository.swift,// Base class providing common repository functionality.,BaseRepository<ActionData>,"GRDB, Models, SQLiteData",BaseRepository<ActionData>,@unchecked Sendable,Medium,
Repository-Core,Cross-cutting,swift/Sources/Services/Repositories/Core/ExportSupport.swift,// Shared utilities for data export functionality across repositories.,,"GRDB, Models, SQLiteData",,None,Medium,
Repository-Core,Cross-cutting,swift/Sources/Services/Repositories/Core/QueryStrategies.swift,// Define query strategy protocols for different repository patterns.,BaseRepository<ActionData>,"GRDB, Models, SQLiteData","BaseRepository<ActionData>, JSONAggregationStrategy, BaseRepository<PersonalValueData>, SQLMacroStrategy, FetchKeyRequest, FetchKeyRequest, FetchKeyRequest",None,Medium,
Repository-Core,Cross-cutting,swift/Sources/Services/Repositories/Core/RepositoryProtocols.swift,// Core protocol hierarchy for repository abstraction layer.,BaseRepository<ActionData>,"GRDB, Models, SQLiteData",BaseRepository<ActionData>,Sendable,Medium,
Service-Deduplication,Cross-cutting,swift/Sources/Services/Deduplication/DuplicationResult.swift,Result of duplicate detection showing a potential match,,,"Identifiable, Sendable, String, Sendable, CaseIterable, String, Sendable, CaseIterable, Hashable, Sendable, Sendable, Error, LocalizedError, Sendable",Sendable,Medium,
Service-Deduplication,Goal,swift/Sources/Services/Deduplication/SemanticGoalDetector.swift,Detector for goal title duplicates using semantic similarity,,Models,Sendable,Sendable,Simple,
Service-Deduplication,Semantic,swift/Sources/Services/Deduplication/SemanticDetectable.swift,Protocol for entities that can be checked for semantic duplicates,,Models,,None,Simple,
Service-Deduplication,Semantic,swift/Sources/Services/Deduplication/SemanticDuplicateDetector.swift,Generic detector for semantic duplicates across any entity type,,Models,,Sendable,Medium,
Service-Embedding,Semantic,swift/Sources/Services/Embedding/EmbeddingGenerationService.swift,// Coordinate entity-specific embedding generation with caching and variant management.,,"CryptoKit, Database, GRDB, Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Service-Embedding,Semantic,swift/Sources/Services/Embedding/EmbeddingSourceTextBuilders.swift,// Build normalized source text for embedding generation from entity data.,,Models,"String, Sendable, Codable",None,Medium,
Service-FoundationModels,Action,swift/Sources/Services/FoundationModels/Tools/GetRecentActionsTool.swift,Tool for fetching recent actions to support reflection conversations,,"FoundationModels, SQLiteData, Services","Tool, Codable, Codable, Codable, Codable, Codable, Codable",None,Medium,
Service-FoundationModels,Cross-cutting,swift/Sources/Services/FoundationModels/ConversationError.swift,Errors that can occur during AI conversation operations,,,"Error, Sendable",None,Simple,
Service-FoundationModels,Cross-cutting,swift/Sources/Services/FoundationModels/ConversationHistory.swift,A single prompt-response exchange with the AI assistant,@Table,SQLiteData,"Codable, Sendable",None,Simple,
Service-FoundationModels,Cross-cutting,swift/Sources/Services/FoundationModels/ModelAvailability.swift,Monitors the availability of the on-device language model,@Observable @MainActor,FoundationModels,,@MainActor,Medium,
Service-FoundationModels,Cross-cutting,swift/Sources/Services/FoundationModels/Tools/AnalyzeAlignmentToolPlaceholder.swift,Tool for analyzing how well goals align with personal values,,"FoundationModels, Models, SQLiteData, Services","Tool, Codable, Codable, Codable, Codable, Codable, Codable",None,Simple,
Service-FoundationModels,Cross-cutting,swift/Sources/Services/FoundationModels/Tools/GetProgressToolPlaceholder.swift,Tool for analyzing progress toward goals,,"FoundationModels, Models, SQLiteData","Tool, Codable, Codable, Codable",None,Simple,
Service-FoundationModels,Goal,swift/Sources/Services/FoundationModels/Services/GoalCoachService.swift,Service for AI-powered goal coaching using Foundation Models,,"FoundationModels, SQLiteData, Services","Sendable, Sendable, LocalizedError",Sendable,Medium,
Service-FoundationModels,Goal,swift/Sources/Services/FoundationModels/Tools/CheckDuplicateGoalTool.swift,Tool for checking if a goal would be a duplicate before creation,,"FoundationModels, Models, SQLiteData, Services","Tool, Codable, Codable, Codable, LocalizedError",None,Medium,
Service-FoundationModels,Goal,swift/Sources/Services/FoundationModels/Tools/CreateGoalTool.swift,Tool for creating new goals with validation and deduplication,,"Dependencies, FoundationModels, Models, SQLiteData, Services","Tool, Codable, Codable, Codable, Codable, LocalizedError",None,Medium,
Service-FoundationModels,Goal,swift/Sources/Services/FoundationModels/Tools/GetGoalsTool.swift,Tool for fetching user's goals with details,,"Database, FoundationModels, Models, SQLiteData, Services","Tool, Codable, Codable, Codable, Codable, Codable",None,Simple,
Service-FoundationModels,Measure,swift/Sources/Services/FoundationModels/Tools/GetMeasuresTool.swift,Tool for fetching available measurement types,,"FoundationModels, Models, SQLiteData","Tool, Codable, Sendable, Codable, Codable",None,Simple,
Service-FoundationModels,PersonalValue,swift/Sources/Services/FoundationModels/Tools/GetValuesTool.swift,Tool for fetching user's personal values,,"Database, FoundationModels, Models, SQLiteData, Services","Tool, Codable, Codable, Codable, Codable",None,Simple,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/HealthKitImportService.swift,// Converts HealthKit workouts to app Actions with measurements,,,,@MainActor,Medium,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/HealthKitLiveTrackingService.swift,// Real-time HealthKit monitoring using HKAnchoredObjectQuery for live metric updates.,,HealthKit,,@MainActor,Medium,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/HealthKitManager.swift,Manager for HealthKit operations (iOS only),@Observable @MainActor,"HealthKit, Observation","LocalizedError, Error",@MainActor,Complex,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/Models/HealthMindfulness.swift,// Display model for Apple Health mindfulness data. Maps HKCategorySample (mindfulSession),,HealthKit,"Identifiable, Sendable, Identifiable, Sendable",None,Medium,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/Models/HealthSleep.swift,// Display model for Apple Health sleep data. Maps HKCategorySample (sleepAnalysis),,HealthKit,"Identifiable, Sendable, Sendable, Identifiable, Sendable, Sendable",Sendable,Medium,
Service-HealthKit,HealthKit,swift/Sources/Services/HealthKit/Models/HealthWorkout.swift,// Display model for Apple Health workout data. Maps HKWorkout to app-friendly structure,,HealthKit,"Identifiable, Sendable, Identifiable, Sendable",None,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/CSVFormatter.swift,// CSV encoding service for export data types.,,Models,,None,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/CSVParser.swift,// RFC 4180 compliant CSV parser for import functionality.,,Models,,None,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/DataImporter.swift,// Main import service - coordinates parse → validate → transform → create.,Sendable Coordinator,"Models, SQLiteData",Sendable,Sendable,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/EntityParsers.swift,// Convert CSV row dictionaries → canonical Data types.,,Models,"Decodable, Decodable",None,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/Exporter.swift,// Data export service - handles repository dispatch and format encoding.,,"Models, SQLiteData","Sendable, Sendable",Sendable,Simple,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/FormDataTransformer.swift,// Transform canonical Data types → FormData for coordinator creation.,,Models,,None,Simple,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/ImportTypes.swift,// Data structures for import preview and result reporting.,,Models,"Equatable, Sendable, Identifiable, Sendable",None,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/ImportValidator.swift,// Validate import records before database writes.,,"Models, SQLiteData",Sendable,Sendable,Medium,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/Importers.swift,,,,,None,Simple,
Service-ImportExport,Cross-cutting,swift/Sources/Services/ImportExport/JSONParser.swift,// JSON parser for import functionality.,,Models,,None,Simple,
Service-Other,Cross-cutting,swift/Sources/Services/MatchingService.swift,Business logic for matching actions to goals,,Models,"Sendable, Sendable",Sendable,Medium,
Service-Other,Semantic,swift/Sources/Services/Dependencies+Semantic.swift,Semantic service for embedding generation and similarity calculation,@Observable @MainActor,Dependencies,"DependencyKey, Sendable",Sendable + @MainActor,Simple,
Service-Progress,Cross-cutting,swift/Sources/Services/Progress/ActiveStatusService.swift,Enhanced active/inactive detection and filtering for all Expectation types,,"Database, Models","Sendable, Sendable",Sendable + @MainActor,Medium,
Service-Progress,Cross-cutting,swift/Sources/Services/Progress/ProgressAggregationService.swift,"Aggregate progress data at different levels (goal, term, period, portfolio)",,"Database, Models",Sendable,Sendable + @MainActor,Medium,
Service-Progress,Cross-cutting,swift/Sources/Services/Progress/ProgressCalculationService.swift,Calculate individual progress metrics for all Expectation types,,Models,"Sendable, Sendable, Sendable, Sendable",Sendable + @MainActor,Medium,
Service-Semantic,PersonalValue,swift/Sources/Services/Semantic/ValueAlignmentService.swift,// Compute goal-value alignment matrix using semantic embeddings.,,"Database, Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Service-Semantic,Semantic,swift/Sources/Services/Semantic/EmbeddingBackfillService.swift,Background service to ensure all entities have semantic embeddings,,"GRDB, Models, SQLiteData",,None,Complex,
Service-Semantic,Semantic,swift/Sources/Services/Semantic/SemanticService.swift,Semantic embedding service with integrated caching,,"CryptoKit, Database, Models, NaturalLanguage, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Service-Validation,Cross-cutting,swift/Sources/Services/Validation/ValidationError.swift,// Defines all validation errors with user-friendly messages.,,,LocalizedError,None,Simple,
Service-Validation,Cross-cutting,swift/Sources/Services/Validation/ValidationRules.swift,// Entity-specific validation rules organized by domain entity.,,Models,,None,Medium,
Service-Validation,Cross-cutting,swift/Sources/Services/Validation/ValidationUtilities.swift,// Single unified validator with generalized validation functions.,,,,None,Medium,
Unknown,Cross-cutting,swift/Sources/App/Views/ContentView.swift,Root view for the application,SwiftUI View,,"View, View",None,Simple,
View-Analytics,PersonalValue,swift/Sources/App/Views/Analytics/ValueAlignmentHeatmapView.swift,Heatmap visualization showing semantic alignment between goals and values,SwiftUI View,Models,"View, View",None,Medium,
View-CSV,Cross-cutting,swift/Sources/App/Views/CSV/CSVExportImportView.swift,// Simple data export UI. Uses DataExporter to write raw text dumps.,SwiftUI View,"Dependencies, Models, SQLiteData, Services, UniformTypeIdentifiers","View, FileDocument",@MainActor,Medium,
View-CSV,Cross-cutting,swift/Sources/App/Views/CSV/ImportPreviewView.swift,// Preview import records with validation status and user selection.,SwiftUI View,"Models, Services",,@MainActor,Complex,
View-CSV,Cross-cutting,swift/Sources/App/Views/CSV/ImportResultView.swift,// Display import operation results with success/failure breakdown.,SwiftUI View,Services,View,None,Medium,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/MetricTargetRow.swift,Row view for metric target input (like MeasurementInputRow),SwiftUI View,"Dependencies, Models, SQLiteData, Services",View,@MainActor,Medium,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/MultiSelectSection.swift,Reusable multi-select section with Toggle bindings,SwiftUI View,,Identifiable,None,Simple,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/RepeatingSection.swift,"Container for add/remove item sections (measurements, targets, etc.)",SwiftUI View,,Identifiable,None,Simple,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/FormComponents/TimingSection.swift,Standard timing fields (when + duration) with consistent styling,SwiftUI View,,View,None,Simple,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/GoalComponents/ProgressIndicator.swift,Visual indicator for goal progress (multi-metric),SwiftUI View,Models,View,None,Medium,
View-Component,Cross-cutting,swift/Sources/App/Views/Components/QuickAddSection.swift,Quick action entry from recent history or active goals,SwiftUI View,"Models, Services","View, View",None,Medium,
View-Component,Measure,swift/Sources/App/Views/Components/FormComponents/MeasurementInputRow.swift,Reusable row component for measure + value entry,SwiftUI View,Models,View,None,Simple,
View-Dashboard,Cross-cutting,swift/Sources/App/Views/Dashboard/DashboardView.swift,Main dashboard with analytics cards,SwiftUI View,,View,None,Simple,
View-Debug,Cross-cutting,swift/Sources/App/Views/Debug/SyncDebugView.swift,,SwiftUI View,"Database, Dependencies, SQLiteData",View,@MainActor,Medium,
View-Debug,Measure,swift/Sources/App/Views/Debug/MeasureDeduplicationView.swift,In-app UI for merging duplicate measures,@Observable @MainActor,"Dependencies, Models, Services","View, View, View",@MainActor,Medium,
View-Form,Action,swift/Sources/App/Views/FormViews/ActionFormView.swift,Form for creating/editing Actions with measurements and goal contributions,SwiftUI View,"Models, Services","Identifiable, View",None,Medium,
View-Form,Goal,swift/Sources/App/Views/FormViews/GoalFormView.swift,Form for creating/editing Goals with full relationship support,SwiftUI View,"Dependencies, Models, SQLiteData, Services",View,@MainActor,Medium,
View-Form,Milestone,swift/Sources/App/Views/FormViews/MilestoneFormView.swift,Form for creating milestones,SwiftUI View,"Models, Services",View,None,Simple,
View-Form,Obligation,swift/Sources/App/Views/FormViews/ObligationFormView.swift,Form for creating obligations,SwiftUI View,"Models, Services",View,None,Simple,
View-Form,PersonalValue,swift/Sources/App/Views/FormViews/PersonalValuesFormView.swift,Form view for PersonalValue creation and editing,SwiftUI View,"Models, Services",View,None,Medium,
View-Form,TimePeriod,swift/Sources/App/Views/FormViews/TermFormView.swift,User-friendly form for creating/editing Terms (wraps generic TimePeriodFormViewModel),SwiftUI View,"Models, Services",View,None,Medium,
View-Health,Cross-cutting,swift/Sources/App/Views/Health/WorkoutDetailView.swift,// Detailed view showing all data for a single workout from HealthKit,SwiftUI View,"HealthKit, Services","View, View, View",None,Medium,
View-Health,Cross-cutting,swift/Sources/App/Views/Health/WorkoutsTestView.swift,// Simple test view to validate HealthKit data flow on iOS.,@Observable,"HealthKit, Models, Services","View, View, View",None,Complex,
View-Health,HealthKit,swift/Sources/App/Views/Health/HealthDashboardTestView.swift,// Simple test view to verify HealthKit live tracking integration.,SwiftUI View,Services,"View, View",None,Medium,
View-LLM,Goal,swift/Sources/App/Views/LLM/GoalCoachView.swift,Chat interface for AI goal coaching,SwiftUI View,,"View, View",None,Medium,
View-List,Action,swift/Sources/App/Views/ListViews/ActionsListView.swift,List view for Actions with measurements and goal contributions,SwiftUI View,"Models, Services",View,None,Medium,
View-List,Goal,swift/Sources/App/Views/ListViews/GoalsListView.swift,List of goals with progress and alignment display,SwiftUI View,Models,View,None,Simple,
View-List,Milestone,swift/Sources/App/Views/ListViews/MilestonesListView.swift,List of milestones with upcoming dates,SwiftUI View,"Models, Services",View,None,Simple,
View-List,Obligation,swift/Sources/App/Views/ListViews/ObligationsListView.swift,List of obligations with deadlines,SwiftUI View,"Models, Services",View,None,Simple,
View-List,PersonalValue,swift/Sources/App/Views/ListViews/PersonalValuesListView.swift,List of personal values with priority and level display,SwiftUI View,Models,View,None,Medium,
View-List,TimePeriod,swift/Sources/App/Views/ListViews/TermsListView.swift,List view showing Terms with their TimePeriod details,@Observable,Models,View,None,Medium,
View-Row,Action,swift/Sources/App/Views/RowViews/ActionRowView.swift,// Displays Action with measurements and goal contributions.,SwiftUI View,"Models, Services",View,None,Simple,
View-Row,Goal,swift/Sources/App/Views/RowViews/GoalRowView.swift,Display row for Goal with multi-metric progress and value alignment,SwiftUI View,Models,View,None,Medium,
View-Row,Milestone,swift/Sources/App/Views/RowViews/MilestoneRowView.swift,Row view for displaying a single milestone in a list,SwiftUI View,"Models, Services",View,None,Simple,
View-Row,Obligation,swift/Sources/App/Views/RowViews/ObligationRowView.swift,Row view for displaying a single obligation in a list,SwiftUI View,"Models, Services",View,None,Simple,
